Model,Test Dataset,Level 1.1,Level 1.2,Level 2.1,Level 2.2,Level 3.1,Level 3.2
Naïve,Te,0.7435747853,0.7435747853,0.7435747853,0.7435747853,0.7435747853,0.7435747853
Naïve,C-Te-10,0.7360486739,0.7421858528,0.7369861021,0.7321769078,0.74390908,0.7339392165
Naïve,C-Te-25,0.7239829896,0.7306932601,0.726628075,0.7124272268,0.7236727028,0.7151813892
Naïve,C-Te-50,0.7132337824,0.6989759821,0.7162756024,0.6657885332,0.7004593247,0.6805052475
Naïve,C-Te-75,0.7012378523,0.6437214415,0.6670266064,0.602626645,0.6747910429,0.6129621458
Naïve,C-Te-100,0.6121623252,0.462487134,0.6121623252,0.462487134,0.6170544362,0.4522712798
10-pre-mixed ,Te,0.7331301019,0.7331301019,0.7331301019,0.7331301019,0.7331301019,0.7331301019
10-pre-mixed ,C-Te-10,0.7242235024,0.7232818776,0.7220681372,0.7234349419,0.7266269562,0.7128896173
10-pre-mixed ,C-Te-25,0.7236070938,0.7202695619,0.7118480282,0.7169793058,0.7056127606,0.7020505177
10-pre-mixed ,C-Te-50,0.7112044979,0.6757916322,0.709718003,0.6718491308,0.6878432985,0.656800347
10-pre-mixed ,C-Te-75,0.7095148068,0.6616966976,0.660826883,0.634551495,0.6625644603,0.6056327264
10-pre-mixed ,C-Te-100,0.6452184469,0.5495335231,0.6452184469,0.5495335231,0.6338752574,0.5257022765
25-pre-mixed,Te,0.6329986748,0.6329986748,0.6329986748,0.6329986748,0.6329986748,0.6329986748
25-pre-mixed,C-Te-10,0.6320220842,0.6320220842,0.6409160919,0.6230363952,0.634956193,0.6399373534
25-pre-mixed,C-Te-25,0.6271137448,0.6242128261,0.6240006662,0.617107972,0.6388451444,0.6161526712
25-pre-mixed,C-Te-50,0.6063978417,0.6150483011,0.6041609132,0.5952941176,0.6180647831,0.5840924939
25-pre-mixed,C-Te-75,0.6166436023,0.580227192,0.6222697601,0.5605636833,0.574718163,0.5891488251
25-pre-mixed,C-Te-100,0.5719531619,0.5395586658,0.5719531619,0.5395586658,0.5936263736,0.5151357446
50-pre-mixed,Te,0.7293124897,0.7293124897,0.7293124897,0.7293124897,0.7293124897,0.7293124897
50-pre-mixed,C-Te-10,0.7207192354,0.7134646032,0.7211078125,0.7181615953,0.7178548173,0.7153574581
50-pre-mixed,C-Te-25,0.7124678902,0.684380505,0.7114069869,0.7149903992,0.7088732328,0.7124822809
50-pre-mixed,C-Te-50,0.6958036033,0.6702162178,0.6956935605,0.666918249,0.6952686447,0.6549787371
50-pre-mixed,C-Te-75,0.6958481033,0.6520090108,0.6781993392,0.6357657856,0.6767218437,0.6156503814
50-pre-mixed,C-Te-100,0.6634458728,0.5799055377,0.6634458728,0.5799055377,0.6732561078,0.5672784089
75-pre-mixed,Te,0.7281960227,0.7281960227,0.7281960227,0.7281960227,0.7281960227,0.7281960227
75-pre-mixed,C-Te-10,0.7250134977,0.7224766822,0.7286803261,0.7259575553,0.7242232498,0.7181914674
75-pre-mixed,C-Te-25,0.7253341195,0.7080973606,0.7204018762,0.7276816911,0.7212546036,0.7118333089
75-pre-mixed,C-Te-50,0.7169877963,0.7004055502,0.705133882,0.6660805861,0.704571952,0.6661369557
75-pre-mixed,C-Te-75,0.706419295,0.6657837269,0.6894364657,0.6100394817,0.6840131863,0.6462060534
75-pre-mixed,C-Te-100,0.6867404255,0.5324392896,0.6867404255,0.5324392896,0.6629221347,0.5549463614
100-pre-mixed,Te,0.6841296871,0.6841296871,0.6841296871,0.6841296871,0.6841296871,0.6841296871
100-pre-mixed,C-Te-10,0.6822759324,0.6808438351,0.6811070047,0.6708214154,0.6800595238,0.673813948
100-pre-mixed,C-Te-25,0.6727793945,0.6676328502,0.6698863795,0.6614052042,0.6773235602,0.6497388614
100-pre-mixed,C-Te-50,0.6823863636,0.6398173417,0.6478574981,0.6164765957,0.658851285,0.6233523568
100-pre-mixed,C-Te-75,0.6775737346,0.6164765957,0.6337230995,0.6127069684,0.6330548773,0.6069892473
100-pre-mixed,C-Te-100,0.6369738749,0.5360980765,0.6369738749,0.5360980765,0.6379653777,0.5583301652
10-augmented-mixed,Te,0.7234245586,0.7234245586,0.7234245586,0.7234245586,0.7234245586,0.7234245586
10-augmented-mixed,C-Te-10,0.7184489467,0.7135228024,0.7195858119,0.7104912976,0.7184813905,0.7080664917
10-augmented-mixed,C-Te-25,0.6982870866,0.6987333714,0.7156084656,0.6924634787,0.6928962749,0.6816764439
10-augmented-mixed,C-Te-50,0.6911949926,0.6454095657,0.6692540612,0.6290545204,0.6630428699,0.6214891571
10-augmented-mixed,C-Te-75,0.6671510673,0.6079925873,0.6536560942,0.6049738144,0.6586774855,0.6169097189
10-augmented-mixed,C-Te-100,0.6253583921,0.5512241013,0.6253583921,0.5512241013,0.6345637044,0.530003279
25-augmented-mixed,Te,0.722076193,0.722076193,0.722076193,0.722076193,0.722076193,0.722076193
25-augmented-mixed,C-Te-10,0.7212026144,0.72319228,0.7241161188,0.7176750102,0.727775902,0.7207958188
25-augmented-mixed,C-Te-25,0.7191570154,0.7090571924,0.7161544648,0.7082406813,0.7150924819,0.7031057424
25-augmented-mixed,C-Te-50,0.7090571924,0.713913136,0.7077355604,0.6744186047,0.7007117202,0.6906232414
25-augmented-mixed,C-Te-75,0.7143998498,0.6670746815,0.6831598338,0.6070906433,0.6738254397,0.6155013577
25-augmented-mixed,C-Te-100,0.6712538226,0.484129857,0.6712538226,0.484129857,0.6754652525,0.4815836526
50-augmented-mixed,Te,0.7137778911,0.7137778911,0.7137778911,0.7137778911,0.7137778911,0.7137778911
50-augmented-mixed,C-Te-10,0.7057295683,0.7099869129,0.7133970229,0.7120651949,0.7098721591,0.7046431429
50-augmented-mixed,C-Te-25,0.6921327493,0.6788081269,0.7094260409,0.689557738,0.6928962749,0.6864991936
50-augmented-mixed,C-Te-50,0.6847326586,0.6642628485,0.6936863776,0.6620315789,0.6825794985,0.653784219
50-augmented-mixed,C-Te-75,0.684430353,0.6340401757,0.6660869195,0.6039529213,0.6763520853,0.6157345349
50-augmented-mixed,C-Te-100,0.6280804133,0.5514963273,0.6280804133,0.5514963273,0.6484215308,0.5229330464
75-augmented-mixed,Te,0.6428865583,0.6428865583,0.6428865583,0.6428865583,0.6428865583,0.6428865583
75-augmented-mixed,C-Te-10,0.6330657273,0.6320777848,0.6369825908,0.6281985857,0.6398978723,0.6184922554
75-augmented-mixed,C-Te-25,0.6251199606,0.6262494568,0.6328954911,0.6203051523,0.6320786359,0.6204096045
75-augmented-mixed,C-Te-50,0.6163244015,0.614671976,0.6162295249,0.5934654355,0.6126677097,0.5956867494
75-augmented-mixed,C-Te-75,0.6262494568,0.6313735077,0.6166750898,0.5832271667,0.6169558288,0.5833416293
75-augmented-mixed,C-Te-100,0.622940894,0.5779601792,0.622940894,0.5779601792,0.6108701627,0.5620571818
100-augmented-mixed,Te,0.6488585086,0.6488585086,0.6488585086,0.6488585086,0.6488585086,0.6488585086
100-augmented-mixed,C-Te-10,0.6488791491,0.6598664346,0.6498612029,0.6408646227,0.6549023181,0.6378032345
100-augmented-mixed,C-Te-25,0.6358355206,0.6379361425,0.6528927076,0.6399079182,0.64987646,0.6559130728
100-augmented-mixed,C-Te-50,0.6308729516,0.624327957,0.644864392,0.622940894,0.6308729516,0.6340431786
100-augmented-mixed,C-Te-75,0.6428865583,0.6184922554,0.6419053964,0.6408646227,0.6202346772,0.613675052
100-augmented-mixed,C-Te-100,0.6100247579,0.5920948617,0.6100247579,0.5920948617,0.6213701322,0.5404396288
